name,board,variant,LED,flash_size
DFRobot Romeo ESP32-S3,dfrobot_romeo_esp32s3,dfrobot_romeo_esp32s3,N/A,[16MB]
DPU ESP32,dpu_esp32,dpu_esp32,N/A,[8MB]
Elecrow CrowPanel 7.0P,elecrow_crowpanel_7,elecrow_crowpanel_7,N/A,[4MB]
ThingPulse ePulse Feather,epulse_feather,thingpulse_epulse_feather,N/A,[8MB]
ThingPulse ePulse Feather C6,epulse_feather_c6,thingpulse_epulse_feather_c6,N/A,[4MB]
ESP32 Dev Module,esp32,esp32,N/A,[4MB]
OLIMEX ESP32-DevKit-LiPo,esp32-devkitlipo,esp32-devkit-lipo,N/A,[4MB]
OLIMEX ESP32-EVB,esp32-evb,esp32-evb,N/A,[4MB]
OLIMEX ESP32-GATEWAY,esp32-gateway,esp32-gateway,33,[4MB]
OLIMEX ESP32-POE,esp32-poe,esp32-poe,N/A,[4MB]
OLIMEX ESP32-POE-ISO,esp32-poe-iso,esp32-poe-iso,N/A,[4MB]
OLIMEX ESP32-SBC-FABGL,esp32-sbc-fabgl,esp32-sbc-fabgl,N/A,[4MB]
Trueverit ESP32 Universal IoT Driver,esp32-trueverit-iot-driver,esp32-trueverit-iot-driver,18,[4MB]
Trueverit ESP32 Universal IoT Driver MK II,esp32-trueverit-iot-driver-mkii,esp32-trueverit-iot-driver-mkii,18,[4MB]
Electronic SweetPeas - ESP320,esp320,esp320,5,[4MB]
ESP32 Family Device,esp32_family,N/A,N/A,[N/A]
ESP32C2 Dev Module,esp32c2,esp32c2,N/A,[2MB]
ESP32C3 Dev Module,esp32c3,esp32c3,N/A,[4MB]
OLIMEX ESP32-C3-DevKit-Lipo,esp32c3-devkitlipo,esp32c3-devkit-lipo,8,[4MB]
ESP-C3-M1-I-Kit,esp32c3m1IKit,esp_c3_m1_i_kit,N/A,[4MB]
ESP32C6 Dev Module,esp32c6,esp32c6,N/A,[4MB]
OLIMEX ESP32-C6-EVB,esp32c6-evb,esp32c6-evb,8,[4MB]
AI Thinker ESP32-CAM,esp32cam,esp32,N/A,[4MB]
ESP32-WROOM-DA Module,esp32da,esp32da,N/A,[4MB]
DOIT ESP32 DEVKIT V1,esp32doit-devkit-v1,doitESP32devkitV1,2,[4MB]
DOIT ESPduino32,esp32doit-espduino,doitESPduino32,2,[4MB]
ESP32H2 Dev Module,esp32h2,esp32h2,N/A,[4MB]
OLIMEX ESP32-H2-DevKit-LiPo,esp32h2-devkitlipo,esp32h2-devkit-lipo,N/A,[4MB]
SparkFun ESP32 MicroMod,esp32micromod,esp32micromod,2,[4MB]
ESP32P4 Dev Module,esp32p4,esp32p4,N/A,[4MB]
ESP32S2 Dev Module,esp32s2,esp32s2,N/A,[4MB]
OLIMEX ESP32-S2-DevKit-Lipo,esp32s2-devkitlipo,esp32s2-devkit-lipo,N/A,[4MB]
OLIMEX ESP32-S2-DevKit-Lipo-USB,esp32s2-devkitlipo-usb,esp32s2-devkit-lipo-usb,N/A,[4MB]
ESP32S2 Native USB,esp32s2usb,esp32s2usb,N/A,[4MB]
ESP32S3 Dev Module,esp32s3,esp32s3,N/A,[4MB]
OLIMEX ESP32-S3-DevKit-Lipo,esp32s3-devkitlipo,esp32s3-devkit-lipo,38,[4MB]
ESP32S3 Dev Module Octal (WROOM2),esp32s3-octal,esp32s3,N/A,[4MB]
ESP32-S3 PowerFeather,esp32s3_powerfeather,esp32s3_powerfeather,N/A,[8MB]
ESP32-S3-Box,esp32s3box,esp32s3box,N/A,[16MB]
ESP32S3 CAM LCD,esp32s3camlcd,esp32s3camlcd,N/A,[4MB]
ESP32-S3-USB-OTG,esp32s3usbotg,esp32s3usbotg,N/A,[8MB]
SparkFun ESP32 Thing,esp32thing,esp32thing,5,[4MB]
SparkFun ESP32 Thing Plus,esp32thing_plus,esp32thing_plus,13,[16MB]
SparkFun ESP32 Thing Plus C,esp32thing_plus_c,esp32thing_plus_c,13,[16MB]
ESP32vn IoT Uno,esp32vn-iot-uno,esp32vn-iot-uno,N/A,[4MB]
ESP32 Wrover Module,esp32wrover,esp32,N/A,[4MB]
ESP32 Wrover Kit (all versions),esp32wroverkit,esp32,N/A,[4MB]
ESPea32,espea32,espea32,5,[4MB]
ESPectro32,espectro32,espectro32,15,[4MB]
ThaiEasyElec's ESPino32,espino32,espino32,16,[4MB]
Adafruit ESP32 Feather,featheresp32,feather_esp32,13,[4MB]
FireBeetle-ESP32,firebeetle32,firebeetle32,2,[4MB]
ESP32 FM DevKit,fm-devkit,fm-devkit,5,[4MB]
Franzininho WiFi,franzininho_wifi_esp32s2,franzininho_wifi_esp32s2,N/A,[4MB]
Franzininho WiFi MSC,franzininho_wifi_msc_esp32s2,franzininho_wifi_msc_esp32s2,N/A,[4MB]
Fri3d Badge 2024 (ESP32-S3-WROOM-1),fri3d_2024_esp32s3,fri3d_2024_esp32s3,21,[16MB]
Frog Board ESP32,frogboard,frog32,N/A,[4MB]
4D Systems gen4-ESP32 16MB Modules (ESP32-S3R8n16),gen4-ESP32-S3R8n16,esp32_s3r8n16,N/A,[16MB (128Mb)]
Pycom GPy,gpy,gpy,N/A,[8MB]
ProtoCentral HealthyPi 4,healthypi4,healthypi4,15,[4MB]
Heltec Capsule Sensor (V3),heltec_capsule_sensor_V3,heltec_capsule_sensor_v3,N/A,[8MB]
Heltec E-Ink Driver,heltec_ht_de01,heltec_ht_de01,35,[8MB]
Heltec Vision Master E290,heltec_vision_master_e290,heltec_vision_master_e290,N/A,[8MB]
Heltec Vision Master E213,heltec_vision_master_e_213,heltec_vision_master_e_213,N/A,[8MB]
Heltec Vision Master T190,heltec_vision_master_t190,heltec_vision_master_t190,N/A,[8MB]
Heltec WiFi Kit 32,heltec_wifi_kit_32,heltec_wifi_kit_32,25,[4MB]
