name,board,LED,flash_size
Adafruit Feather ESP32-S3 Reverse TFT,adafruit_feather_esp32s3_reversetft,N/A,[4MB]
Adafruit Feather ESP32-S3 TFT,adafruit_feather_esp32s3_tft,N/A,[4MB]
Adafruit FunHouse,adafruit_funhouse_esp32s2,N/A,[4MB]
Adafruit ItsyBitsy ESP32,adafruit_itsybitsy_esp32,13,[8MB]
Adafruit MagTag 2.9",adafruit_magtag29_esp32s2,N/A,[4MB]
Adafruit MatrixPortal ESP32-S3,adafruit_matrixportal_esp32s3,N/A,[8MB]
Adafruit Metro ESP32-S2,adafruit_metro_esp32s2,N/A,[4MB]
Adafruit Metro ESP32-S3,adafruit_metro_esp32s3,N/A,[16MB]
Adafruit QT Py ESP32,adafruit_qtpy_esp32_pico,N/A,[8MB]
Adafruit QT Py ESP32-C3,adafruit_qtpy_esp32c3,N/A,[4MB]
Adafruit QT Py ESP32-S2,adafruit_qtpy_esp32s2,N/A,[4MB]
Adafruit QT Py ESP32-S3 (4M Flash 2M PSRAM),adafruit_qtpy_esp32s3_n4r2,N/A,[4MB]
Adafruit QT Py ESP32-S3 No PSRAM,adafruit_qtpy_esp32s3_nopsram,N/A,[8MB]
Adafruit Qualia ESP32-S3 RGB666,adafruit_qualia_s3_rgb666,N/A,[16MB]
Alfredo NoU3,alfredo-nou3,N/A,[8MB]
ALKS ESP32,alksesp32,23,[4MB]
AutosportLabs ESP-CAN-X2,aslcanx2,2,[8MB]
ATD1.47-S3,atd147_s3,N/A,[8MB]
ATD3.5-S3,atd35s3,5,[8MB]
ATMegaZero ESP32-S2,atmegazero_esp32s2,N/A,[16MB]
Aventen S3 Sync,aventen_s3_sync,N/A,[16MB]
CNRS AW2ETH,aw2eth,N/A,[4MB]
BPI-BIT,bpi-bit,N/A,[4MB]
BPI-Leaf-S3,bpi_leaf_s3,N/A,[8MB]
cezerio dev ESP32C6,cezerio_dev_esp32c6,N/A,[4MB]
cezerio mini dev ESP32C6,cezerio_mini_dev_esp32c6,N/A,[4MB]
Denky,ch_denky,N/A,[4MB]
CircuitART Zero S3,circuitart_zero_s3,N/A,[16MB]
CodeCell,codecell,N/A,[4MB]
Connaxio's Espoir,connaxio_espoir,N/A,[4MB]
Crabik Slot ESP32-S3,crabik_slot_esp32_s3,21,[8MB]
XinaBox CW02,cw02,27,[4MB]
CYOBOT V2 ESP32S3,cyobot_v2_esp32s3,N/A,[4MB]
Cytron Maker Feather AIoT S3,cytron_maker_feather_aiot_s3,2,[8MB]
D-duino-32,d-duino-32,N/A,[4MB]
WEMOS D1 MINI ESP32,d1_mini32,2,[4MB]
WEMOS D1 R32,d1_uno32,2,[4MB]
LOLIN D32,d32,5,[4MB]
LOLIN D32 PRO,d32_pro,5,[4MB]
Deneyap Kart,deneyapkart,4,[4MB]
Deneyap Kart 1A,deneyapkart1A,N/A,[4MB]
Deneyap Kart 1A v2,deneyapkart1Av2,N/A,[4MB]
Deneyap Kart G,deneyapkartg,N/A,[4MB]
Deneyap Mini,deneyapmini,35,[4MB]
Deneyap Mini v2,deneyapminiv2,N/A,[4MB]
Department of Alchemy MiniMain ESP32-S2,department_of_alchemy_minimain_esp32s2,N/A,[4MB]
DFRobot Beetle ESP32-C3,dfrobot_beetle_esp32c3,10,[4MB]
DFRobot Beetle ESP32-C6,dfrobot_beetle_esp32c6,15,[4MB]
DFRobot FireBeetle 2 ESP32-C6,dfrobot_firebeetle2_esp32c6,15,[4MB]
FireBeetle 2 ESP32-E,dfrobot_firebeetle2_esp32e,2,[4MB]
DFRobot Firebeetle 2 ESP32-S3,dfrobot_firebeetle2_esp32s3,N/A,[4MB]
DFRobot Romeo ESP32-S3,dfrobot_romeo_esp32s3,N/A,[16MB]
DPU ESP32,dpu_esp32,N/A,[8MB]
Elecrow CrowPanel 7.0P,elecrow_crowpanel_7,N/A,[4MB]
ThingPulse ePulse Feather,epulse_feather,N/A,[8MB]
ThingPulse ePulse Feather C6,epulse_feather_c6,N/A,[4MB]
ESP32 Dev Module,esp32,N/A,[4MB]
OLIMEX ESP32-DevKit-LiPo,esp32-devkitlipo,N/A,[4MB]
OLIMEX ESP32-EVB,esp32-evb,N/A,[4MB]
OLIMEX ESP32-GATEWAY,esp32-gateway,33,[4MB]
OLIMEX ESP32-POE,esp32-poe,N/A,[4MB]
OLIMEX ESP32-POE-ISO,esp32-poe-iso,N/A,[4MB]
OLIMEX ESP32-SBC-FABGL,esp32-sbc-fabgl,N/A,[4MB]
Trueverit ESP32 Universal IoT Driver,esp32-trueverit-iot-driver,18,[4MB]
Trueverit ESP32 Universal IoT Driver MK II,esp32-trueverit-iot-driver-mkii,18,[4MB]
Electronic SweetPeas - ESP320,esp320,5,[4MB]
ESP32 Family Device,esp32_family,N/A,[N/A]
ESP32C2 Dev Module,esp32c2,N/A,[2MB]
ESP32C3 Dev Module,esp32c3,N/A,[4MB]
OLIMEX ESP32-C3-DevKit-Lipo,esp32c3-devkitlipo,8,[4MB]
ESP-C3-M1-I-Kit,esp32c3m1IKit,N/A,[4MB]
ESP32C6 Dev Module,esp32c6,N/A,[4MB]
OLIMEX ESP32-C6-EVB,esp32c6-evb,8,[4MB]
AI Thinker ESP32-CAM,esp32cam,N/A,[4MB]
ESP32-WROOM-DA Module,esp32da,N/A,[4MB]
DOIT ESP32 DEVKIT V1,esp32doit-devkit-v1,2,[4MB]
DOIT ESPduino32,esp32doit-espduino,2,[4MB]
ESP32H2 Dev Module,esp32h2,N/A,[4MB]
OLIMEX ESP32-H2-DevKit-LiPo,esp32h2-devkitlipo,N/A,[4MB]
SparkFun ESP32 MicroMod,esp32micromod,2,[4MB]
ESP32P4 Dev Module,esp32p4,N/A,[4MB]
ESP32S2 Dev Module,esp32s2,N/A,[4MB]
OLIMEX ESP32-S2-DevKit-Lipo,esp32s2-devkitlipo,N/A,[4MB]
OLIMEX ESP32-S2-DevKit-Lipo-USB,esp32s2-devkitlipo-usb,N/A,[4MB]
ESP32S2 Native USB,esp32s2usb,N/A,[4MB]
ESP32S3 Dev Module,esp32s3,N/A,[4MB]
OLIMEX ESP32-S3-DevKit-Lipo,esp32s3-devkitlipo,38,[4MB]
ESP32S3 Dev Module Octal (WROOM2),esp32s3-octal,N/A,[4MB]
ESP32-S3 PowerFeather,esp32s3_powerfeather,N/A,[8MB]
ESP32-S3-Box,esp32s3box,N/A,[16MB]
ESP32S3 CAM LCD,esp32s3camlcd,N/A,[4MB]
ESP32-S3-USB-OTG,esp32s3usbotg,N/A,[8MB]
SparkFun ESP32 Thing,esp32thing,5,[4MB]
SparkFun ESP32 Thing Plus,esp32thing_plus,13,[16MB]
SparkFun ESP32 Thing Plus C,esp32thing_plus_c,13,[16MB]
ESP32vn IoT Uno,esp32vn-iot-uno,N/A,[4MB]
ESP32 Wrover Module,esp32wrover,N/A,[4MB]
ESP32 Wrover Kit (all versions),esp32wroverkit,N/A,[4MB]
ESPea32,espea32,5,[4MB]
ESPectro32,espectro32,15,[4MB]
ThaiEasyElec's ESPino32,espino32,16,[4MB]
Adafruit ESP32 Feather,featheresp32,13,[4MB]
FireBeetle-ESP32,firebeetle32,2,[4MB]
ESP32 FM DevKit,fm-devkit,5,[4MB]
Franzininho WiFi,franzininho_wifi_esp32s2,N/A,[4MB]
Franzininho WiFi MSC,franzininho_wifi_msc_esp32s2,N/A,[4MB]
Fri3d Badge 2024 (ESP32-S3-WROOM-1),fri3d_2024_esp32s3,21,[16MB]
Frog Board ESP32,frogboard,N/A,[4MB]
4D Systems gen4-ESP32 16MB Modules (ESP32-S3R8n16),gen4-ESP32-S3R8n16,N/A,[16MB (128Mb)]
Pycom GPy,gpy,N/A,[8MB]
ProtoCentral HealthyPi 4,healthypi4,15,[4MB]
Heltec Capsule Sensor (V3),heltec_capsule_sensor_V3,N/A,[8MB]
Heltec E-Ink Driver,heltec_ht_de01,35,[8MB]
Heltec Vision Master E290,heltec_vision_master_e290,N/A,[8MB]
Heltec Vision Master E213,heltec_vision_master_e_213,N/A,[8MB]
Heltec Vision Master T190,heltec_vision_master_t190,N/A,[8MB]
Heltec WiFi Kit 32,heltec_wifi_kit_32,25,[4MB]
Heltec WiFi Kit 32(V3),heltec_wifi_kit_32_V3,35,[8MB]
Heltec WiFi LoRa 32,heltec_wifi_lora_32,25,[4MB]
Heltec WiFi LoRa 32(V2),heltec_wifi_lora_32_V2,25,[8MB]
Heltec WiFi LoRa 32(V3),heltec_wifi_lora_32_V3,35,[8MB]
Heltec Wireless Bridge,heltec_wireless_bridge,25,[8MB]
Heltec Wireless Mini Shell,heltec_wireless_mini_shell,N/A,[4MB]
Heltec Wireless Paper,heltec_wireless_paper,35,[8MB]
Heltec Wireless Shell (V3),heltec_wireless_shell_V3,35,[8MB]
Heltec Wireless Stick,heltec_wireless_stick,25,[8MB]
Heltec Wireless Stick(V3),heltec_wireless_stick_V3,N/A,[8MB]
Heltec Wireless Stick Lite / Wireless Shell,heltec_wireless_stick_lite,25,[4MB]
Heltec Wireless Stick Lite(V3),heltec_wireless_stick_lite_V3,35,[8MB]
Heltec Wireless Tracker,heltec_wireless_tracker,N/A,[8MB]
HONEYLemon,honeylemon,2,[4MB]
Hornbill ESP32 Dev,hornbill32dev,13,[4MB]
Hornbill ESP32 Minima,hornbill32minima,N/A,[4MB]
Huidu HD-WF2,huidu_hd_wf2,N/A,[8MB]
Huidu HD-WF4,huidu_hd_wf4,N/A,[8MB]
IMBRIOS LOGSENS_V1P1,imbrios-logsens-v1p1,33,[4MB]
IntoRobot Fig,intorobot-fig,4,[4MB]
IOXESP32,ioxesp32,5,[4MB]
IOXESP32-C6,ioxesp32c6,N/A,[4MB]
IOXESP32PS,ioxesp32ps,5,[4MB]
ESP32-2432S028R CYD,jczn_2432s028r,N/A,[4MB]
KB32-FT,kb32,N/A,[4MB]
KITS ESP32 EDU,kits-edu,N/A,[4MB]
LilyGo T3-S3,lilygo_t3s3,N/A,[4MB]
LilyGo T-Display,lilygo_t_display,N/A,[4MB]
LilyGo T-Display-S3,lilygo_t_display_s3,N/A,[16MB]
LilyGo T-ETH-Lite,lilygo_t_eth_lite,N/A,[16MB]
Lion:Bit Dev Board,lionbit,0,[4MB]
Lion:Bit S3 STEM Dev Board,lionbits3,0,[4MB]
WEMOS LOLIN32,lolin32,5,[4MB]
WEMOS LOLIN32 Lite,lolin32-lite,22,[4MB]
LOLIN C3 Mini,lolin_c3_mini,N/A,[4MB]
LOLIN C3 Pico,lolin_c3_pico,N/A,[4MB]
LOLIN S2 Mini,lolin_s2_mini,15,[4MB]
LOLIN S2 PICO,lolin_s2_pico,10,[4MB]
LOLIN S3,lolin_s3,38,[16MB]
LOLIN S3 Mini,lolin_s3_mini,47,[4MB]
LOLIN S3 Mini Pro,lolin_s3_mini_pro,8,[4MB]
LOLIN S3 Pro,lolin_s3_pro,38,[16MB]
LoPy,lopy,N/A,[4MB]
LoPy4,lopy4,N/A,[4MB]
M5Atom,m5stack_atom,N/A,[4MB]
M5AtomS3,m5stack_atoms3,N/A,[8MB]
M5Capsule,m5stack_capsule,N/A,[8MB]
M5Cardputer,m5stack_cardputer,N/A,[8MB]
M5Core,m5stack_core,N/A,[4MB]
M5Core2,m5stack_core2,N/A,[16MB]
M5CoreInk,m5stack_coreink,N/A,[4MB]
M5CoreS3,m5stack_cores3,N/A,[16MB]
M5Dial,m5stack_dial,N/A,[8MB]
M5DinMeter,m5stack_dinmeter,N/A,[8MB]
M5Fire,m5stack_fire,N/A,[16MB]
M5NanoC6,m5stack_nanoc6,7,[4MB]
M5Paper,m5stack_paper,N/A,[16MB]
M5PoECAM,m5stack_poe_cam,N/A,[4MB]
M5StampC3,m5stack_stamp_c3,N/A,[4MB]
M5StampPico,m5stack_stamp_pico,N/A,[4MB]
M5StampS3,m5stack_stamp_s3,N/A,[8MB]
M5Station,m5stack_station,N/A,[16MB]
M5StickC,m5stack_stickc,N/A,[4MB]
M5StickCPlus,m5stack_stickc_plus,N/A,[4MB]
M5StickCPlus2,m5stack_stickc_plus2,N/A,[8MB]
M5TimerCAM,m5stack_timer_cam,2,[4MB]
M5Tough,m5stack_tough,N/A,[16MB]
M5UnitCAM,m5stack_unit_cam,4,[4MB]
M5UnitCAMS3,m5stack_unit_cams3,N/A,[16MB]
Labplus mPython,mPython,N/A,[8MB]
MagicBit,magicbit,16,[4MB]
MakerGO ESP32 C3 SuperMini,makergo_c3_supermini,8,[4MB]
Metro ESP-32,metro_esp-32,2,[4MB]
MGBOT IOTIK 32A,mgbot-iotik32a,4,[4MB]
MGBOT IOTIK 32B,mgbot-iotik32b,18,[4MB]
MH ET LIVE ESP32DevKIT,mhetesp32devkit,2,[4MB]
MH ET LIVE ESP32MiniKit,mhetesp32minikit,2,[4MB]
microS2,micros2,21,[16MB]
Namino Arancio,namino_arancio,N/A,[4MB]
Namino Bianco,namino_bianco,N/A,[4MB]
Namino Rosso,namino_rosso,N/A,[4MB]
Nano32,nano32,16,[4MB]
Arduino Nano ESP32,nano_nora,N/A,[16MB]
Arduino on Nano ESP32,nano_nora.debug_config.nano_nora.cortex-debug.custom,N/A,[N/A]
Nebula S3,nebulas3,N/A,[4MB]
u-blox NINA-W10 series (ESP32),nina_w10,N/A,[2MB]
Node32s,node32s,2,[4MB]
NodeMCU-32S,nodemcu-32s,2,[4MB]
Nologo ESP32C3 Super Mini,nologo_esp32c3_super_mini,8,[4MB]
Nologo ESP32S3 Pico,nologo_esp32s3_pico,21,[8MB]
u-blox NORA-W10 series (ESP32-S3),nora_w10,N/A,[4MB]
ODROID ESP32,odroid_esp32,2,[16MB]
Onehorse ESP32 Dev Module,onehorse32dev,5,[4MB]
OROCA EduBot,oroca_edubot,13,[4MB]
ESP32 PICO-D4,pico32,N/A,[4MB]
Piranha ESP-32,piranha_esp-32,2,[4MB]
Dongsen Tech Pocket 32,pocket_32,16,[4MB]
Noduino Quantum,quantum,N/A,[16MB]
RedPill(+) ESP32-S3,redpill_esp32s3,N/A,[8MB]
RoboHeart Hercules,roboheart_hercules,N/A,[4MB]
senseBox MCU-S2 ESP32-S2,sensebox_mcu_esp32s2,N/A,[4MB]
Senses's WEIZEN,sensesiot_weizen,N/A,[4MB]
Sonoff DUALR3,sonoff_dualr3,N/A,[4MB]
SparkFun ESP32 IoT RedBoard,sparkfun_esp32_iot_redboard,18,[4MB]
SparkFun ESP32-C6 Qwiic Pocket,sparkfun_esp32c6_qwiic_pocket,23,[4MB]
SparkFun ESP32-C6 Thing Plus,sparkfun_esp32c6_thing_plus,N/A,[4MB]
SparkFun ESP32-S2 Thing Plus,sparkfun_esp32s2_thing_plus,13,[4MB]
SparkFun ESP32-S3 Thing Plus,sparkfun_esp32s3_thing_plus,N/A,[4MB]
SparkFun LoRa Gateway 1-Channel,sparkfun_lora_gateway_1-channel,17,[4MB]
SparkFun Pro Micro - ESP32C3,sparkfun_pro_micro_esp32c3,10,[4MB]
Adafruit Sparkle Motion (ESP32),sparklemotion,4,[4MB]
Adafruit Sparkle Motion Mini (ESP32),sparklemotionmini,12,[4MB]
T-Beam,t-beam,14,[4MB]
TAMC Termod S3,tamc_termod_s3,N/A,[8MB]
LilyGo-T-LoRa-Pager,tlora_pager,N/A,[16MB]
TTGO LoRa32-OLED,ttgo-lora32,N/A,[4MB]
TTGO T-OI PLUS RISC-V ESP32-C3,ttgo-t-oi-plus,3,[4MB]
TTGO T1,ttgo-t1,22,[4MB]
TTGO T7 V1.3 Mini32,ttgo-t7-v13-mini32,22,[4MB]
TTGO T7 V1.4 Mini32,ttgo-t7-v14-mini32,19,[4MB]
Turta IoT Node,turta_iot_node,N/A,[4MB]
TTGO T-Watch,twatch,N/A,[16MB]
LilyGo T-Watch-Ultra,twatch_ultra,N/A,[16MB]
LilyGo T-Watch-S3,twatchs3,N/A,[16MB]
uPesy EDU ESP32,uPesy_edu_esp32,2,[4MB]
uPesy ESP32 Wroom DevKit,uPesy_wroom,2,[4MB]
uPesy ESP32 Wrover DevKit,uPesy_wrover,2,[4MB]
UM BLING,um_bling,N/A,[8MB]
UM FeatherS2,um_feathers2,N/A,[16MB]
UM FeatherS2 Neo,um_feathers2neo,N/A,[4MB]
UM FeatherS3,um_feathers3,N/A,[16MB]
UM FeatherS3 Neo,um_feathers3neo,N/A,[8MB]
UM NanoS3,um_nanos3,N/A,[8MB]
UM OMGS3,um_omgs3,N/A,[8MB]
UM PROS3,um_pros3,N/A,[16MB]
UM TinyC6,um_tinyc6,N/A,[4MB]
UM TinyPICO,um_tinypico,N/A,[4MB]
UM TinyS2,um_tinys2,N/A,[4MB]
UM TinyS3,um_tinys3,N/A,[8MB]
unPhone 7,unphone7,13,[4MB]
unPhone 8,unphone8,N/A,[8MB]
unPhone 9,unphone9,N/A,[8MB]
uPesy ESP32C3 Basic,upesy_esp32c3_basic,N/A,[4MB]
uPesy ESP32C3 Mini,upesy_esp32c3_mini,N/A,[4MB]
uPesy ESP32S3 Basic,upesy_esp32s3_basic,2,[16MB]
VintLabs ESP32 Devkit,vintlabs-devkit-v1,2,[4MB]
ViraLink Gate32-0.1,viralink32g01,5,[4MB]
ViraLink Gate32-1.1,viralink32g11,N/A,[4MB]
DPTechnics Walter,walter,N/A,[16MB]
Watchy,watchy,N/A,[4MB]
Waveshare ESP32-S3-LCD-1.46,waveshare_esp32_s3_lcd_146,N/A,[16MB]
Waveshare ESP32-S3-LCD-1.47,waveshare_esp32_s3_lcd_147,N/A,[16MB]
Waveshare ESP32-S3-LCD-1.69,waveshare_esp32_s3_lcd_169,N/A,[16MB]
Waveshare ESP32-S3-LCD-1.85,waveshare_esp32_s3_lcd_185,N/A,[16MB]
Waveshare ESP32-S3-Relay-6CH,waveshare_esp32_s3_relay_6ch,N/A,[8MB]
Waveshare ESP32-S3-Touch-AMOLED-1.43,waveshare_esp32_s3_touch_amoled_143,N/A,[16MB]
Waveshare ESP32-S3-Touch-AMOLED-1.64,waveshare_esp32_s3_touch_amoled_164,N/A,[16MB]
Waveshare ESP32-S3-Touch-AMOLED-1.8,waveshare_esp32_s3_touch_amoled_18,N/A,[16MB]
Waveshare ESP32-S3-Touch-AMOLED-1.91,waveshare_esp32_s3_touch_amoled_191,N/A,[16MB]
Waveshare ESP32-S3-Touch-AMOLED-2.41,waveshare_esp32_s3_touch_amoled_241,N/A,[16MB]
Waveshare ESP32-S3-Touch-LCD-1.46,waveshare_esp32_s3_touch_lcd_146,N/A,[16MB]
Waveshare ESP32-S3-Touch-LCD-1.69,waveshare_esp32_s3_touch_lcd_169,N/A,[16MB]
Waveshare ESP32-S3-Touch-LCD-1.85,waveshare_esp32_s3_touch_lcd_185,N/A,[16MB]
Waveshare ESP32-S3-Touch-LCD-1.85-BOX,waveshare_esp32_s3_touch_lcd_185_box,N/A,[16MB]
Waveshare ESP32-S3-Touch-LCD-2.1,waveshare_esp32_s3_touch_lcd_21,N/A,[16MB]
Waveshare ESP32-S3-Touch-LCD-2.8,waveshare_esp32_s3_touch_lcd_28,N/A,[16MB]
Waveshare ESP32-S3-Touch-LCD-4,waveshare_esp32_s3_touch_lcd_4,N/A,[16MB]
Waveshare ESP32-S3-Touch-LCD-4.3,waveshare_esp32_s3_touch_lcd_43,N/A,[8MB]
Waveshare ESP32-S3-Touch-LCD-4.3B,waveshare_esp32_s3_touch_lcd_43B,N/A,[16MB]
Waveshare ESP32-S3-Touch-LCD-5,waveshare_esp32_s3_touch_lcd_5,N/A,[16MB]
Waveshare ESP32-S3-Touch-LCD-5B,waveshare_esp32_s3_touch_lcd_5B,N/A,[16MB]
Waveshare ESP32-S3-Touch-LCD-7,waveshare_esp32_s3_touch_lcd_7,N/A,[8MB]
Waveshare ESP32-S3-Zero,waveshare_esp32_s3_zero,N/A,[4MB]
Waveshare ESP32S3 Touch LCD 128,waveshare_esp32s3_touch_lcd_128,N/A,[16MB]
WeAct Studio ESP32C3,weact_studio_esp32c3,8,[4MB]
Silicognition wESP32,wesp32,N/A,[4MB]
Widora AIR,widora-air,25,[16MB]
WiFiduino32,wifiduino32,2,[4MB]
WiFiduinoV2,wifiduino32c3,13,[4MB]
WiFiduino32S3,wifiduino32s3,N/A,[4MB]
WiPy 3.0,wipy3,N/A,[8MB]
Waveshare ESP32-S3-Matrix,ws_esp32_s3_matrix,N/A,[4MB]
WT32-ETH01 Ethernet Module,wt32-eth01,N/A,[4MB]
WT32-SC01 PLUS,wt32-sc01-plus,N/A,[16MB]
YelloByte YB-ESP32-S3-AMP (Rev.2),yb_esp32s3_amp_v2,47,[8MB]
YelloByte YB-ESP32-S3-AMP (Rev.3),yb_esp32s3_amp_v3,47,[8MB]
YelloByte YB-ESP32-S3-ETH,yb_esp32s3_eth,47,[4MB]
